"","taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"ubiome_bacteriacounts.190","41275","76892","35","544",NA,"Brevundimonas","genus",NA
"ubiome_bacteriacounts.191","76892","204458","35","544",NA,"Caulobacteraceae","family",NA
"ubiome_bacteriacounts.192","204458","28211","35","544",NA,"Caulobacterales","order",NA
"ubiome_bacteriacounts.193","1151715","361210","34","529",NA,"Porphyromonadaceae bacterium canine oral taxon 184","species",NA
"ubiome_bacteriacounts.194","361210","171551","34","529",NA,"unclassified Porphyromonadaceae","no_rank",NA
"ubiome_bacteriacounts.195","526524","1239","33","513",NA,"Erysipelotrichia","class",NA
"ubiome_bacteriacounts.196","128827","526525","33","513",NA,"Erysipelotrichaceae","family",NA
"ubiome_bacteriacounts.197","123375","128827","33","513",NA,"Solobacterium","genus",NA
"ubiome_bacteriacounts.198","102148","123375","33","513",NA,"Solobacterium moorei","species",NA
"ubiome_bacteriacounts.199","526525","526524","33","513",NA,"Erysipelotrichales","order",NA
"ubiome_bacteriacounts.200","39950","39948","30","467",NA,"Dialister pneumosintes","species",NA
"ubiome_bacteriacounts.201","1281","1279","29","451",NA,"Staphylococcus carnosus","species",NA
"ubiome_bacteriacounts.202","188787","1297","28","435",NA,"Deinococci","class",NA
"ubiome_bacteriacounts.203","68933","188787","28","435",NA,"Thermales","order",NA
"ubiome_bacteriacounts.204","265975","186803","28","435",NA,"Oribacterium","genus",NA
"ubiome_bacteriacounts.205","188786","68933","28","435",NA,"Thermaceae","family",NA
"ubiome_bacteriacounts.206","270","188786","28","435",NA,"Thermus","genus",NA
"ubiome_bacteriacounts.207","114528","86331","27","420",NA,"Mogibacterium neglectum","species",NA
"ubiome_bacteriacounts.208","80840","28216","27","420",NA,"Burkholderiales","order",NA
"ubiome_bacteriacounts.209","80864","80840","27","420",NA,"Comamonadaceae","family",NA
"ubiome_bacteriacounts.210","86331","543314","27","420",NA,"Mogibacterium","genus",NA
"ubiome_bacteriacounts.211","28136","838","26","404",NA,"Prevotella oulorum","species",NA
"ubiome_bacteriacounts.212","137732","117563","26","404",NA,"Granulicatella elegans","species",NA
"ubiome_bacteriacounts.213","76860","671232","25","389",NA,"Streptococcus constellatus","species",NA
"ubiome_bacteriacounts.214","671232","1301","25","389",NA,"Streptococcus anginosus group","species_group",NA
"ubiome_bacteriacounts.215","868","135615","24","373",NA,"Cardiobacteriaceae","family",NA
"ubiome_bacteriacounts.216","135615","1236","24","373",NA,"Cardiobacteriales","order",NA
"ubiome_bacteriacounts.217","194702","2717","24","373",NA,"Cardiobacterium valvarum","species",NA
"ubiome_bacteriacounts.218","2717","868","24","373",NA,"Cardiobacterium","genus",NA
"ubiome_bacteriacounts.219","42214","31977","23","358",NA,"unclassified Veillonellaceae","no_rank",NA
"ubiome_bacteriacounts.220","541000","186802","22","342",NA,"Ruminococcaceae","family",NA
"ubiome_bacteriacounts.221","416916","712","21","327",NA,"Aggregatibacter","genus",NA
"ubiome_bacteriacounts.222","739","416916","21","327",NA,"Aggregatibacter segnis","species",NA
"ubiome_bacteriacounts.223","461393","1654","20","311",NA,"Actinomyces massiliensis","species",NA
